Date,Open,High,Low,Close,Adj Close,Volume
2004-06-08,875.000000,900.000000,875.000000,887.500000,561.467834,99830000
2004-06-09,887.500000,912.500000,875.000000,900.000000,569.376038,58858000
2004-06-10,900.000000,900.000000,887.500000,900.000000,569.376038,33118000
2004-06-11,887.500000,900.000000,887.500000,900.000000,569.376038,27166000
2004-06-14,900.000000,900.000000,875.000000,887.500000,561.467834,31708000
2004-06-15,875.000000,912.500000,875.000000,912.500000,577.283875,59524000
2004-06-16,912.500000,912.500000,887.500000,900.000000,569.376038,20854000
2004-06-17,887.500000,887.500000,875.000000,887.500000,561.467834,70030000
2004-06-18,875.000000,887.500000,875.000000,887.500000,561.467834,52652000
2004-06-21,887.500000,887.500000,875.000000,887.500000,561.467834,66374000
2004-06-22,887.500000,900.000000,887.500000,887.500000,561.467834,11374000
2004-06-23,900.000000,900.000000,887.500000,900.000000,569.376038,93838000
2004-06-24,900.000000,900.000000,887.500000,900.000000,569.376038,38262000
2004-06-25,900.000000,912.500000,900.000000,912.500000,577.283875,30862000
2004-06-28,912.500000,912.500000,900.000000,912.500000,577.283875,52172000
2004-06-29,912.500000,925.000000,912.500000,925.000000,585.191833,24612000
2004-06-30,925.000000,937.500000,912.500000,937.500000,593.099854,58252000
2004-07-01,900.000000,900.000000,875.000000,887.500000,638.031738,40618000
2004-07-02,887.500000,900.000000,887.500000,900.000000,647.018005,98160000
2004-07-05,900.000000,900.000000,900.000000,900.000000,647.018005,0
2004-07-06,912.500000,937.500000,900.000000,937.500000,673.977051,165322000
2004-07-07,925.000000,950.000000,912.500000,937.500000,673.977051,76514000
2004-07-08,937.500000,950.000000,925.000000,937.500000,673.977051,56948000
2004-07-09,925.000000,950.000000,925.000000,950.000000,682.963379,76228000
2004-07-12,950.000000,975.000000,937.500000,950.000000,682.963379,95682000
2004-07-13,950.000000,962.500000,937.500000,962.500000,691.950012,26684000
2004-07-14,950.000000,950.000000,925.000000,937.500000,673.977051,48684000
2004-07-15,925.000000,937.500000,912.500000,937.500000,673.977051,26978000
2004-07-16,925.000000,950.000000,925.000000,950.000000,682.963379,28124000
2004-07-19,937.500000,950.000000,937.500000,950.000000,682.963379,8788000
2004-07-20,937.500000,950.000000,937.500000,950.000000,682.963379,33778000
2004-07-21,937.500000,950.000000,937.500000,950.000000,682.963379,32484000
2004-07-22,937.500000,950.000000,937.500000,950.000000,682.963379,12346000
2004-07-23,937.500000,950.000000,937.500000,950.000000,682.963379,3134000
2004-07-26,937.500000,937.500000,912.500000,937.500000,673.977051,103530000
2004-07-27,925.000000,937.500000,912.500000,937.500000,673.977051,50800000
2004-07-28,937.500000,937.500000,925.000000,937.500000,673.977051,34504000
2004-07-29,937.500000,937.500000,925.000000,937.500000,673.977051,11590000
2004-07-30,937.500000,937.500000,925.000000,937.500000,673.977051,44822000
2004-08-02,925.000000,937.500000,925.000000,925.000000,664.990784,5402000
2004-08-03,925.000000,950.000000,925.000000,937.500000,673.977051,65200000
2004-08-04,937.500000,950.000000,937.500000,950.000000,682.963379,50932000
2004-08-05,937.500000,950.000000,937.500000,950.000000,682.963379,26666000
2004-08-06,937.500000,950.000000,937.500000,937.500000,673.977051,25268000
2004-08-09,925.000000,925.000000,900.000000,912.500000,656.004395,72932000
2004-08-10,912.500000,912.500000,912.500000,912.500000,656.004395,21600000
2004-08-11,925.000000,925.000000,925.000000,925.000000,664.990784,28808000
